 -----------------------------------------------------------
   Label        Explanations
-----------------------------------------------------------
  1  Name         Galaxy Name
  2  MType        Morphological type, HyperLeda 
  3  t            Hubble Type (0-17)
  4  t(leda)      Hubble Type
  5  mFUV         dust-corrected FUV total (bulge+disk) apparent magnitude
  6  E_F          Upper uncertainty in mFUV
  7  e_F          Lower uncertainty in mFUV
  8  mNUV         dust-corrected NUV total (bulge+disk) apparent magnitude
  9  E_N          Upper uncertainty in mNUV
 10   e_N          Lower uncertainty in mNUV
 11   m3.6         dust-corrected 3.6um total (bulge+disk) apparent magnitude
 12   E_3          Upper uncertainty in m3.6
 13   e_3          Lower uncertainty in m3.6
 14   BT-uv        ?="" NUV/FUV Bulge-to-total ratio
 15   BT-ir        3.6um Bulge-to-total ratio
 16   DT-uv        ?="" NUV/FUV Disk-to-total ratio
 17   DT-ir        ?="" 3.6um Disk-to-total ratio
 18   D1           Bulge dust correction, FUV
 19   D2           ?="" Disk dust correction, FUV
 20   D3           ?="" Bulge dust correction, NUV
 21   D4           ?="" Disk dust correction, NUV
 22   D5           ?="" Bulge dust correction, 3.6um
 23   D6           ?="" Disk dust correction, 3.6um
 24   logMBH       supermassive black hole mass (from Van den Bosch, 2016)
 25   E_M          Upper uncertainty in logMBH [Msun]
 26   e_M          Lower uncertainty in logMBH
 27   Logsigma     log velocity dispersion (from Van den Bosch, 2016)
 28   ELogs        error in log velocity dispersion
 29   LogLk	   log K-band luminosity [in solar unit](from Van den Bosch, 2016)
 30   LogLk_err    Uncertainty in LogLk (2)
 31   M/Lk         Mass to light ratio (k-band)
 32   LogMassk     log Stellar mass (k-band), in solar masses
 33   LogMassk_e   Uncertainty in LogMassk
 34   logRe        Effective radius in kpc (from Van den Bosch, 2016)
 35   logRe_e      Error in effective radius
 36   Dist         Distance in Mpc (from Van den Bosch, 2016)
 37   Diste        Error in distance in Mpc
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Name     MType  t t_leda mFUV  E_F  e_F   mNUV  E_N  e_N  m3.6 E_3  e_3 BT-uv BT-ir DT-uv DT-ir D1  D2    D3   D4    D5   D6 logMBH E_M  e_M   Logsigma ELogs   LogLk LogLk_err  M/Lk   LogMassk  LogMassk_e logRe  elogRe   Dist   Diste
NGC~4258 SBbc  13   4    11.10 0.36 0.36 10.69 0.36 0.36  7.89 0.35 0.35  NA  0.07 0.96   0.96 0.32 0.10   NA  1.02  NA  1.02 7.58 0.03 0.03   	2.06   0.04	10.90	0.08	0.85	10.83	    0.12     0.64   0.08      7.3   0.5
NGC~4278 E1-2  2   -4.8  16.00 0.24 0.24 14.99 0.24 0.24  9.79 0.22 0.22 0.65 0.71  NA     NA  0.01  NA   0.25  NA  0.26  NA  7.96 0.27 0.27   	2.33   0.02	10.87	0.09	1.12	10.92	    0.13     0.24   0.09     15.0   1.5
NGC~4314 SBa   10   1    15.16 0.35 0.35 14.27 0.35 0.35 10.34 0.34 0.34 0.08 0.17 0.79   0.57 0.12 0.05  1.32 0.67 1.33 0.67 6.91 0.30 6.91   	2.03   0.01	10.90	0.11	0.82	10.81	    0.14     0.81   0.12     15.5   1.5
NGC~4321 SABb  12   4    12.17 0.36 0.36 11.56 0.36 0.36  8.99 0.34 0.34  NA  0.10 0.90   0.90 0.12 0.05   NA  0.67  NA  0.67 6.67 0.17 6.67   	1.92   0.02	11.14	0.11	0.73	11.00	    0.14     0.98   0.13     14.2   1.4
NGC~4371 SB0-a  9  -1.3  16.90 0.54 0.54 15.54 0.36 0.36 10.44 0.32 0.32 0.16 0.23 0.74   0.62 0.12 0.05  1.41 0.76 1.41 0.76 6.84 0.07 0.07   	2.16   0.02	10.78	0.08	0.94	10.75       0.12     0.40   0.05     16.9   1.5
NGC~4374 E1     1  -4.4  15.77 0.24 0.24 14.31 0.23 0.23  8.74 0.22 0.22 0.60 0.65  NA     NA  0.01  NA   0.35  NA  0.35  NA  8.97 0.05 0.05   	2.41   0.02	11.40	0.03	1.21	11.49	    0.09     0.57   0.03     18.5   0.6
NGC~4388 SBb   12   2.8  13.42 0.35 0.35 12.60 0.36 0.36 10.11 0.34 0.34 0.06 0.16 0.94   0.84 0.56 0.24  1.97 1.84 1.97 1.85 6.86 0.04 0.04   	2.03   0.03	10.72	0.08	0.82	10.63	    0.12     0.75   0.08     16.5   1.6
NGC~4472 E2     2  -4.8  14.78 0.21 0.21 13.60 0.22 0.22  7.91 0.20 0.20 0.58 0.63  NA     NA  0.01  NA   0.19  NA  0.19  NA  9.40 0.04 0.04   	2.40   0.02	11.75	0.07	1.20	11.83	    0.11     0.89   0.11     17.1   0.6
NGC~4501 Sb    12   3.3  13.04 0.35 0.35 12.27 0.35 0.35  8.76 0.39 0.39  NA  0.06 0.94   0.94 0.21 0.07   NA  0.92  NA  0.93 7.30 0.08 0.08   	2.20   0.01	11.27	0.07	0.98	11.26	    0.11     0.72   0.04     16.5   1.1
NGC~4548 SBb   12   3.1  14.07 0.37 0.37 13.48 0.36 0.36  9.82 0.35 0.35 0.03 0.12 0.93   0.78 0.13 0.05  1.45 0.78 1.46 0.79 7.25 0.29 0.29   	2.16   0.04	11.27	0.16	0.94	11.24	    0.18     1.08   0.17     17.9   1.8
NGC~4593 SBb   12   3    14.26 0.37 0.37 13.66 0.38 0.38 10.74 0.36 0.36 0.10 0.16 0.81   0.61 0.13 0.05  1.36 0.69 1.37 0.69 6.86 0.21 0.21   	2.13   0.02	11.35	0.09	0.91	11.31	    0.13     0.98   0.09     38.5   3.9
NGC~4594 Sa    10   1.1  13.35 0.36 0.36 11.86 0.37 0.37  7.20 0.35 0.35 0.49 0.83 0.51   0.17 0.31 0.10  1.84 1.27 1.84 1.28 8.82 0.05 0.05   	2.38   0.02	11.39	0.08	1.18	11.46       0.12     0.74   0.08      9.9   0.8
NGC~4596 SB0-a  9  -0.8  16.72 0.36 0.36 15.29 0.35 0.35 10.06 0.32 0.32 0.13 0.19 0.77   0.65 0.13 0.05  1.32 0.64 1.32 0.65 7.89 0.26 0.26   	2.10   0.02	10.97	0.26	0.88	10.92	    0.27     0.70   0.16     16.5   6.2
NGC~4698 Sab   11   1.6  14.89 0.38 0.38 13.84 0.36 0.36 10.08 0.35 0.35 0.22 0.44 0.78   0.56 0.17 0.05  1.43 0.74 1.43 0.75 7.76 0.16 0.16   	2.09   0.03	10.82	0.10	0.87	10.76	    0.13     0.56   0.08     16.4   1.6
NGC~4736 Sab   11   2.3  11.51 0.36 0.36 11.07 0.36 0.36  8.01 0.34 0.34 0.24 0.42 0.54   0.21 0.12 0.04  1.27 0.61 1.28 0.61 6.78 0.12 0.12   	2.05   0.02 	10.67	0.16	0.84	10.59	    0.18     0.00   0.12      4.5   0.8
NGC~4800 Sb    12   3    14.64 0.34 0.34 13.96 0.35 0.35 10.94 0.34 0.34 0.04 0.17 0.95   0.80 0.13 0.05  1.28 0.60 1.28 0.61 7.02 0.53 7.02   	2.01   0.01	10.23	0.08	0.80	10.13	    0.12     0.01   0.05     12.5   1.3
NGC~4826 SABa  10   2.2  12.94 0.36 0.36 11.90 0.36 0.36  7.91 0.34 0.34 0.12 0.28 0.87   0.68 0.21 0.07  1.62 0.96 1.63 0.96 6.05 0.13 0.13   	1.98   0.02 	10.71	0.19	0.78	10.60	    0.21     0.38   0.12      5.2   1.2
NGC~5005 SABb  11   4    14.11 0.35 0.35 13.12 0.35 0.35  9.17 0.33 0.33 0.06 0.15 0.88   0.69 0.24 0.07  1.44 0.81 1.45 0.81 8.27 0.23 0.23   	2.30   0.02	11.10	0.09	1.08	11.13	    0.13     0.54   0.06     14.6   1.5
NGC~5018 E3     3  -4.4  18.07 0.63 0.63 15.32 0.25 0.25 10.28 0.27 0.27 0.83 0.88  NA     NA  0.02  NA   0.79  NA  0.80  NA  8.02 0.08 0.08   	2.32   0.01 	11.54	0.09	1.11	11.59       0.13     0.62   0.06     40.5   4.9
NGC~5055 Sbc   13   4    11.89 0.36 0.36 11.23 0.36 0.36  7.97 0.34 0.34 0.03 0.17 0.97   0.81 0.19 0.06  1.40 0.73 1.40 0.73 8.92 0.10 0.10   	2.00   0.02	11.13	0.10	0.79	11.03	    0.13     0.77   0.09      8.7   0.9
NGC~5194 SABb  12   4    10.60 0.35 0.35 10.04 0.34 0.34  7.49 0.32 0.32  NA  0.10 0.87   0.88 0.17 0.06   NA  0.83  NA  0.83 5.96 0.36 5.96   	1.84   0.06 	11.04	0.10	0.67	10.87	    0.13     0.73   0.08      7.9   0.8
NGC~5248 SBb   12   4    12.86 0.36 0.36 12.43 0.36 0.36  9.65 0.33 0.33 0.05 0.20 0.95   0.80 0.14 0.05  1.37 0.69 1.37 0.69 6.30 0.38 0.38   	2.10   0.04	10.97	0.09	0.88	10.92	    0.13     0.69   0.06     17.9   1.8 
NGC~5273 S0     8  -1.9  17.46 0.36 0.36 15.77 0.36 0.36 11.24 0.34 0.34  NA  0.09 0.99   0.91 0.11 0.04   NA  0.53  NA  0.53 6.61 0.27 0.27   	1.82   0.02	10.29	0.09	0.66	10.11	    0.13     0.36   0.07     15.5   1.5
NGC~5347 SBab  11   2    15.27 0.37 0.37 14.89 0.38 0.38 11.99 0.34 0.34 0.17 0.33 0.80   0.59 0.13 0.05  1.31 0.64 1.32 0.64 7.21 0.42 7.21   	1.80   0.08	10.54	0.09	0.66	10.35	    0.13     0.59   0.07     32.3   3.2
NGC~5427 SABc  14   5    13.59 0.37 0.37 13.04 0.37 0.37 10.99 0.35 0.35  NA  0.10 0.90   0.90 0.12 0.05   NA  0.68  NA  0.69 7.58 0.30 7.58   	1.80   0.08	11.12	0.13	0.65	10.93 	    0.16     0.88   0.12     36.3   3.6
NGC~5457 SABc  13   5.9   9.65 0.64 0.64  9.43 0.63 0.63  7.76 0.61 0.61  NA  0.05 0.95   0.95 0.11 0.04   NA  0.53  NA  0.53 6.41 0.08 6.41   	1.35   0.17	10.87	0.13	0.41	10.48       0.16     0.87   0.08      7.0   0.7
NGC~5576 E3     3  -4.9  17.35 0.26 0.26 15.43 0.24 0.24 10.42 0.23 0.23 0.69 0.74  NA     NA  0.01  NA   0.25  NA  0.26  NA  8.44 0.13 0.13   	2.19   0.02	11.18	0.06	0.97	11.17       0.11     0.69   0.07     25.7   1.7
NGC~5728 SBa   10   1.2  14.75 0.40 0.40 14.20 0.38 0.38 10.99 0.38 0.38 0.12 0.26 0.72   0.39 0.20 0.07  2.09 1.41 2.10 1.42 8.05 0.29 0.29   	2.28   0.08	11.28	0.10	1.06	11.31 	    0.13     0.90   0.08     37.6   3.8
NGC~5846 E0-1  1   -4.8  16.24 0.26 0.26 15.18 0.25 0.25  9.46 0.21 0.21 0.60 0.65  NA     NA  0.01  NA   0.46  NA  0.46  NA  9.04 0.06 0.06   	2.35   0.02	11.46	0.09	1.14	11.52       0.13     0.80   0.10     24.9   2.3
